"dcas_bbl","dcas_hnum","display_hnum","dcas_sname","sname_1b","parcel_name","display_name","agency","primary_use_code","primary_use_text","reviewed"
"1000020001","4","4","SOUTH STREET","SOUTH STREET","SI FERRY TERMINAL","STATEN ISLAND FERRY TERMINAL","DOT","811","FERRY TERMINAL",
"1000020001","4","4","SOUTH STREET","SOUTH STREET","SI FERRY TERMINAL","STATEN ISLAND FERRY TERMINAL","DSBS","1500","NO USE",
"1000030002",,"","PETER MINUIT PLAZA","PETER MINUIT PLAZA","PETER MINUIT PLAZA/BATTERY PK","PETER MINUIT PLAZA/BATTERY PARK","PARKS","440","PARK",
"1000030003",,"","WHITEHALL STREET","WHITEHALL STREET","PETER MINUIT PLAZA/BATTERY PK","PETER MINUIT PLAZA/BATTERY PARK","PARKS","440","PARK",
"1000730017",,"","MARGINAL STREET","MARGINAL STREET","FORMERLY PIERS 19  20 & 21","FORMERLY PIERS 19  20 AND 21","DSBS","1530","NO USE-WATERFRONT (ANY AGENCY)",
"1000730029",,"",,,"L.U.W. UNDER BKLYN BRIDGE","L.U.W. UNDER BROOKLYN BRIDGE","DSBS","1530","NO USE-WATERFRONT (ANY AGENCY)",
"1000740001","2","2","FULTON STREET","FULTON STREET","S ST. CPORT/BURLING SLIP/PLGRD","S ST. CPORT/BURLING SLIP/PLAYGROUND","EDC","1900","IN USE-TENANTED",
"1000740001","2","2","FULTON STREET","FULTON STREET","S ST. CPORT/BURLING SLIP/PLGRD","S ST. CPORT/BURLING SLIP/PLAYGROUND","HPD","1500","NO USE",
"1000740001","2","2","FULTON STREET","FULTON STREET","S ST. CPORT/BURLING SLIP/PLGRD","S ST. CPORT/BURLING SLIP/PLAYGROUND","PARKS","440","PARK",
"1000740020","8","8","FULTON STREET","FULTON STREET","S ST. CPORT/BURLING SLIP/PLGRD","S ST. CPORT/BURLING SLIP/PLAYGROUND","EDC","1900","IN USE-TENANTED",
"1000740020","8","8","FULTON STREET","FULTON STREET","S ST. CPORT/BURLING SLIP/PLGRD","S ST. CPORT/BURLING SLIP/PLAYGROUND","HPD","1500","NO USE",
"1000740020","8","8","FULTON STREET","FULTON STREET","S ST. CPORT/BURLING SLIP/PLGRD","S ST. CPORT/BURLING SLIP/PLAYGROUND","PARKS","440","PARK",
"1000960013","201","201","FRONT STREET","FRONT STREET","IND 8TH AVE. ROW & VENT","IND 8TH AVENUE ROW AND VENT","EDC","1900","IN USE-TENANTED",
"1000960013","201","201","FRONT STREET","FRONT STREET","IND 8TH AVE. ROW & VENT","IND 8TH AVENUE ROW AND VENT","HPD","1500","NO USE",
"1000960013","201","201","FRONT STREET","FRONT STREET","IND 8TH AVE. ROW & VENT","IND 8TH AVENUE ROW AND VENT","MTA","861","TRANSIT WAY",
"1001110160","80","80","CATHERINE STREET","CATHERINE STREET","PS 126 & ALFRED E. SMITH PARK","PS 126 AND ALFRED E. SMITH PARK","EDUC","211","ELEMENTARY SCHOOL",
"1001110160","80","80","CATHERINE STREET","CATHERINE STREET","PS 126 & ALFRED E. SMITH PARK","PS 126 AND ALFRED E. SMITH PARK","PARKS","440","PARK",
"1001130001",,"","AVENUE OF THE FINEST","AVENUE OF THE FINEST","BKLYN BRIDGE APP/VAULTED SPACE","BROOKLYN BRIDGE APP/VAULTED SPACE","DOT","880","ROAD/HIGHWAY",
"1001210027",,"","PARK ROW","PARK ROW","ENCLOSED AREA BENEATH BKLYN BR","ENCLOSED AREA BENEATH BROOKLYN BR","DOT","880","ROAD/HIGHWAY",
"1001710031","60","60","LAFAYETTE STREET","LAFAYETTE STREET","FIELD OFFICE-MN FAMILY CT DIVN","FIELD OFFICE-MANHATTAN FAMILY CT DIVN","ACS","100","OFFICE",
"1001710031","60","60","LAFAYETTE STREET","LAFAYETTE STREET","FIELD OFFICE-MN FAMILY CT DIVN","FIELD OFFICE-MANHATTAN FAMILY CT DIVN","CORR","100","OFFICE",
